sale_id;invoice_id;store_id;time_id;product_id;customer_id;gender;unit_price;quantity;tax;total;payment_method;cogs;gross_margin_percentage;gross_income;rating
63;347-34-2234;3;63;4;1;Female;55.07;9;24.78;520.41;Ewallet;495.63;4.761905;24.78;10.0
64;199-75-8169;1;64;4;1;Male;15.81;10;июл.91;166.01;Credit card;158.10;4.761905;июл.91;08.июн
65;853-23-2453;3;65;1;1;Male;75.74;4;15.15;318.11;Cash;302.96;4.761905;15.15;07.июн
66;877-22-3308;1;66;1;1;Male;15.87;10;июл.94;166.64;Cash;158.70;4.761905;июл.94;05.авг
67;838-78-4295;2;67;1;2;Female;33.47;2;мар.35;70.29;Ewallet;66.94;4.761905;мар.35;06.июл
68;109-28-2512;3;68;6;1;Female;97.61;6;29.28;614.94;Ewallet;585.66;4.761905;29.28;09.сен
69;232-11-3025;1;69;4;2;Male;78.77;10;39.39;827.09;Cash;787.70;4.761905;39.39;06.апр
70;382-03-4532;1;70;1;1;Female;18.33;1;0.92;19.25;Cash;18.33;4.761905;0.92;04.мар
71;393-65-2792;2;71;5;2;Male;89.48;10;44.74;939.54;Credit card;894.80;4.761905;44.74;09.июн
72;796-12-2025;2;72;6;2;Male;62.12;10;31.06;652.26;Cash;621.20;4.761905;31.06;05.сен
73;510-95-6347;3;73;5;1;Female;48.52;3;июл.28;152.84;Ewallet;145.56;4.761905;июл.28;4.0
74;841-35-6630;2;74;2;2;Female;75.91;6;22.77;478.23;Cash;455.46;4.761905;22.77;08.июл
75;287-21-9091;1;75;3;2;Male;74.67;9;33.60;705.63;Ewallet;672.03;4.761905;33.60;09.апр
76;732-94-0499;2;76;2;2;Female;41.65;10;20.83;437.33;Credit card;416.50;4.761905;20.83;05.апр
77;263-10-3913;2;77;6;1;Male;49.04;9;22.июл;463.43;Credit card;441.36;4.761905;22.июл;08.июн
78;381-20-0914;1;78;6;1;Female;20.янв;9;9.00;189.09;Credit card;180.09;4.761905;9.00;05.июл
79;829-49-1914;2;79;5;1;Female;78.31;10;39.16;822.26;Ewallet;783.10;4.761905;39.16;06.июн
80;756-01-7507;2;80;1;2;Female;20.38;5;05.окт;107.00;Cash;101.90;4.761905;05.окт;6.0
81;870-72-4431;2;81;1;2;Female;99.19;6;29.76;624.90;Credit card;595.14;4.761905;29.76;05.май
82;847-38-7188;3;82;5;2;Female;96.68;3;14.50;304.54;Ewallet;290.04;4.761905;14.50;06.апр
83;480-63-2856;2;83;5;2;Male;19.25;8;июл.70;161.70;Ewallet;154.00;4.761905;июл.70;06.июн
84;787-56-0757;2;84;5;1;Female;80.36;4;16.июл;337.51;Credit card;321.44;4.761905;16.июл;08.мар
85;360-39-5055;2;85;4;1;Male;48.91;5;дек.23;256.78;Cash;244.55;4.761905;дек.23;06.июн
86;730-50-9884;2;86;4;2;Female;83.06;7;29.июл;610.49;Ewallet;581.42;4.761905;29.июл;4.0
87;362-58-8315;2;87;6;2;Male;76.52;5;19.13;401.73;Cash;382.60;4.761905;19.13;09.сен
88;633-44-8566;1;88;5;1;Male;49.38;7;17.28;362.94;Credit card;345.66;4.761905;17.28;07.мар
89;504-35-8843;1;89;4;2;Male;42.47;1;02.дек;44.59;Cash;42.47;4.761905;02.дек;05.июл
90;318-68-5053;3;90;1;2;Female;76.99;6;23.окт;485.04;Cash;461.94;4.761905;23.окт;06.янв
91;565-80-5980;2;91;3;1;Female;47.38;4;сен.48;199.00;Cash;189.52;4.761905;сен.48;07.янв
92;225-32-0908;2;92;4;2;Female;44.86;10;22.43;471.03;Ewallet;448.60;4.761905;22.43;08.фев
93;873-51-0671;1;93;4;1;Female;21.98;7;июл.69;161.55;Ewallet;153.86;4.761905;июл.69;05.янв
94;152-08-9985;3;94;1;1;Male;64.36;9;28.96;608.20;Credit card;579.24;4.761905;28.96;08.июн
95;512-91-0811;2;95;1;2;Male;89.75;1;апр.49;94.24;Credit card;89.75;4.761905;апр.49;06.июн
96;594-34-4444;1;96;2;2;Male;97.16;1;апр.86;102.02;Ewallet;97.16;4.761905;апр.86;07.фев
97;766-85-7061;3;97;1;2;Male;87.87;10;43.94;922.64;Ewallet;878.70;4.761905;43.94;05.янв
98;871-39-9221;2;98;2;2;Female;дек.45;6;мар.74;78.44;Cash;74.70;4.761905;мар.74;04.янв
99;865-92-6136;1;99;5;2;Male;52.75;3;июл.91;166.16;Ewallet;158.25;4.761905;июл.91;09.мар
100;733-01-9107;3;100;3;2;Male;82.70;6;24.81;521.01;Cash;496.20;4.761905;24.81;07.апр
101;163-56-7055;2;101;6;1;Male;48.71;1;фев.44;51.15;Cash;48.71;4.761905;фев.44;04.янв
102;189-98-2939;2;102;6;2;Male;78.55;9;35.35;742.30;Cash;706.95;4.761905;35.35;07.фев
103;551-21-3069;2;103;2;2;Female;23.июл;9;окт.38;218.01;Cash;207.63;4.761905;окт.38;04.сен
104;212-62-1842;1;104;5;2;Male;58.26;6;17.48;367.04;Cash;349.56;4.761905;17.48;09.сен
105;716-39-1409;3;105;1;2;Male;30.35;7;окт.62;223.07;Cash;212.45;4.761905;окт.62;8.0
106;704-48-3927;1;106;2;1;Male;88.67;10;44.34;931.04;Ewallet;886.70;4.761905;44.34;07.мар
107;628-34-3388;2;107;6;2;Male;27.38;6;авг.21;172.49;Credit card;164.28;4.761905;авг.21;07.сен
108;630-74-5166;1;108;4;2;Male;62.13;6;18.64;391.42;Cash;372.78;4.761905;18.64;07.апр
109;588-01-7461;2;109;5;2;Female;33.98;9;15.29;321.11;Cash;305.82;4.761905;15.29;04.фев
110;861-77-0145;2;110;2;1;Male;81.97;10;40.99;860.69;Cash;819.70;4.761905;40.99;09.фев
111;479-26-8945;3;111;4;1;Female;16.49;2;янв.65;34.63;Ewallet;32.98;4.761905;янв.65;04.июн
112;210-67-5886;2;112;1;1;Female;98.21;3;14.73;309.36;Credit card;294.63;4.761905;14.73;07.авг
113;227-78-1148;3;113;6;2;Female;72.84;7;25.49;535.37;Cash;509.88;4.761905;25.49;08.апр
114;645-44-1170;1;114;3;1;Male;58.07;9;26.13;548.76;Ewallet;522.63;4.761905;26.13;04.мар
115;237-01-6122;2;115;3;1;Female;80.79;9;36.36;763.47;Credit card;727.11;4.761905;36.36;09.май
116;225-98-1496;2;116;6;2;Female;27.фев;3;04.май;85.11;Credit card;81.06;4.761905;04.май;07.янв
117;291-32-1427;3;117;6;1;Male;21.94;5;май.49;115.19;Ewallet;109.70;4.761905;май.49;05.мар
118;659-65-8956;3;118;6;1;Male;51.36;1;фев.57;53.93;Ewallet;51.36;4.761905;фев.57;05.фев
119;642-32-2990;1;119;5;2;Female;окт.96;10;май.48;115.08;Ewallet;109.60;4.761905;май.48;6.0
120;378-24-2715;3;120;3;2;Male;53.44;2;май.34;112.22;Ewallet;106.88;4.761905;май.34;04.янв
121;638-60-7125;1;121;2;2;Female;99.56;8;39.82;836.30;Credit card;796.48;4.761905;39.82;05.фев
122;659-36-1684;2;122;4;1;Male;57.12;7;19.99;419.83;Credit card;399.84;4.761905;19.99;06.май
123;219-22-9386;3;123;4;1;Male;99.96;9;44.98;944.62;Credit card;899.64;4.761905;44.98;04.фев
124;336-78-2147;2;124;3;1;Male;63.91;8;25.56;536.84;Credit card;511.28;4.761905;25.56;04.июн
125;268-27-6179;3;125;6;1;Female;56.47;8;22.59;474.35;Ewallet;451.76;4.761905;22.59;07.мар
126;668-90-8900;1;126;3;2;Female;93.69;7;32.79;688.62;Credit card;655.83;4.761905;32.79;04.май
127;870-54-3162;1;127;4;2;Female;32.25;5;08.июн;169.31;Cash;161.25;4.761905;08.июн;9.0
128;189-08-9157;2;128;6;2;Female;31.73;9;14.28;299.85;Credit card;285.57;4.761905;14.28;05.сен
129;663-86-9076;2;129;5;1;Female;68.54;8;27.42;575.74;Ewallet;548.32;4.761905;27.42;08.май
130;549-84-7482;3;130;4;2;Female;90.28;9;40.63;853.15;Ewallet;812.52;4.761905;40.63;07.фев
131;191-10-6171;3;131;6;2;Female;39.62;7;13.87;291.21;Cash;277.34;4.761905;13.87;07.май
132;802-70-5316;1;132;4;1;Female;92.13;6;27.64;580.42;Cash;552.78;4.761905;27.64;08.мар
133;695-51-0018;3;133;4;2;Female;34.84;4;июн.97;146.33;Cash;139.36;4.761905;июн.97;07.апр
134;590-83-4591;3;134;2;1;Male;87.45;6;26.24;550.94;Credit card;524.70;4.761905;26.24;08.авг
135;483-71-1164;2;135;1;2;Female;81.30;6;24.39;512.19;Ewallet;487.80;4.761905;24.39;05.мар
136;597-78-7908;2;136;6;2;Male;90.22;3;13.53;284.19;Cash;270.66;4.761905;13.53;06.фев
137;700-81-1757;1;137;2;2;Female;26.31;5;июн.58;138.13;Credit card;131.55;4.761905;июн.58;08.авг
138;354-39-5160;1;138;3;1;Female;34.42;6;окт.33;216.85;Cash;206.52;4.761905;окт.33;09.авг
139;241-72-9525;3;139;4;2;Male;51.91;10;25.96;545.06;Cash;519.10;4.761905;25.96;08.фев
140;575-30-8091;1;140;4;2;Male;72.50;8;29.00;609.00;Ewallet;580.00;4.761905;29.00;09.фев
141;731-81-9469;2;141;4;1;Female;89.80;10;44.90;942.90;Credit card;898.00;4.761905;44.90;05.апр
142;280-17-4359;2;142;1;1;Male;90.50;10;45.25;950.25;Cash;905.00;4.761905;45.25;08.янв
143;338-65-2210;2;143;1;1;Female;68.60;10;34.30;720.30;Cash;686.00;4.761905;34.30;09.янв
144;488-25-4221;2;144;5;1;Female;30.41;1;янв.52;31.93;Credit card;30.41;4.761905;янв.52;08.апр
145;239-10-7476;1;145;3;2;Female;77.95;6;23.39;491.09;Ewallet;467.70;4.761905;23.39;8.0
146;458-41-1477;2;146;1;2;Female;46.26;6;13.88;291.44;Credit card;277.56;4.761905;13.88;09.май
147;685-64-1609;1;147;6;1;Female;30.14;10;15.июл;316.47;Ewallet;301.40;4.761905;15.июл;09.фев
148;568-90-5112;2;148;1;2;Male;66.14;4;13.23;277.79;Credit card;264.56;4.761905;13.23;05.июн
149;262-47-2794;3;149;3;1;Male;71.86;8;28.74;603.62;Credit card;574.88;4.761905;28.74;06.фев
150;238-49-0436;1;150;1;2;Male;32.46;8;дек.98;272.66;Credit card;259.68;4.761905;дек.98;04.сен
151;608-96-3517;3;151;6;1;Female;91.54;4;18.31;384.47;Credit card;366.16;4.761905;18.31;04.авг
152;584-86-7256;2;152;4;1;Male;34.56;7;12.окт;254.02;Credit card;241.92;4.761905;12.окт;07.мар
153;746-94-0204;1;153;6;2;Male;83.24;9;37.46;786.62;Credit card;749.16;4.761905;37.46;07.апр
154;214-17-6927;2;154;5;2;Female;16.48;6;апр.94;103.82;Ewallet;98.88;4.761905;апр.94;09.сен
155;400-89-4171;2;155;4;2;Female;80.97;8;32.39;680.15;Cash;647.76;4.761905;32.39;09.мар
156;782-95-9291;1;156;5;1;Male;92.29;5;23.июл;484.52;Credit card;461.45;4.761905;23.июл;9.0
157;279-74-2924;3;157;2;1;Male;72.17;1;мар.61;75.78;Cash;72.17;4.761905;мар.61;06.янв
158;307-85-2293;3;158;3;2;Male;50.28;5;дек.57;263.97;Ewallet;251.40;4.761905;дек.57;09.июл
159;743-04-1105;3;159;1;1;Male;97.22;9;43.75;918.73;Ewallet;874.98;4.761905;43.75;6.0
160;423-57-2993;3;160;4;2;Male;93.39;6;28.фев;588.36;Ewallet;560.34;4.761905;28.фев;10.0
161;894-41-5205;2;161;5;2;Female;43.18;8;17.27;362.71;Credit card;345.44;4.761905;17.27;08.мар
162;275-28-0149;1;162;4;2;Male;63.69;1;мар.18;66.87;Cash;63.69;4.761905;мар.18;6.0
163;101-17-6199;1;163;5;2;Male;45.79;7;16.мар;336.56;Credit card;320.53;4.761905;16.мар;7.0
164;423-80-0988;2;164;4;2;Male;76.40;2;июл.64;160.44;Ewallet;152.80;4.761905;июл.64;06.май
165;548-46-9322;3;165;5;2;Male;39.90;10;19.95;418.95;Credit card;399.00;4.761905;19.95;05.сен
166;505-02-0892;3;166;1;1;Male;42.57;8;17.мар;357.59;Ewallet;340.56;4.761905;17.мар;05.июн
167;234-65-2137;2;167;3;2;Male;95.58;10;47.79;1003.59;Cash;955.80;4.761905;47.79;04.авг
168;687-47-8271;1;168;6;2;Male;98.98;10;49.49;1039.29;Credit card;989.80;4.761905;49.49;08.июл
169;796-32-9050;1;169;5;2;Male;51.28;6;15.38;323.06;Cash;307.68;4.761905;15.38;06.май
170;105-31-1824;1;170;4;1;Male;69.52;7;24.33;510.97;Credit card;486.64;4.761905;24.33;08.май
171;249-42-3782;1;171;1;2;Male;70.01;5;17.50;367.55;Ewallet;350.05;4.761905;17.50;05.май
172;316-55-4634;3;172;5;1;Male;80.05;5;20.янв;420.26;Credit card;400.25;4.761905;20.янв;09.апр
173;733-33-4967;2;173;2;2;Male;20.85;8;авг.34;175.14;Cash;166.80;4.761905;авг.34;06.мар
174;608-27-6295;3;174;2;1;Male;52.89;6;15.87;333.21;Credit card;317.34;4.761905;15.87;09.авг
175;414-12-7047;3;175;5;2;Male;19.79;8;июл.92;166.24;Ewallet;158.32;4.761905;июл.92;08.июл
176;827-26-2100;1;176;3;1;Male;33.84;9;15.23;319.79;Ewallet;304.56;4.761905;15.23;08.авг
177;175-54-2529;1;177;5;1;Male;22.17;8;авг.87;186.23;Credit card;177.36;4.761905;авг.87;09.июн
178;139-52-2867;2;178;6;2;Female;22.51;7;июл.88;165.45;Credit card;157.57;4.761905;июл.88;04.авг
179;407-63-8975;1;179;5;2;Male;73.88;6;22.16;465.44;Ewallet;443.28;4.761905;22.16;04.апр
180;342-65-4817;2;180;1;1;Male;86.80;3;13.фев;273.42;Ewallet;260.40;4.761905;13.фев;09.сен
181;130-98-8941;2;181;6;2;Male;64.26;7;22.49;472.31;Cash;449.82;4.761905;22.49;05.июл
182;434-83-9547;2;182;5;1;Male;38.47;8;15.39;323.15;Cash;307.76;4.761905;15.39;07.июл
183;851-28-6367;1;183;4;1;Male;15.50;10;июл.75;162.75;Ewallet;155.00;4.761905;июл.75;8.0
184;824-88-3614;2;184;1;2;Male;34.31;8;13.72;288.20;Ewallet;274.48;4.761905;13.72;05.июл
185;586-25-0848;1;185;4;2;Female;дек.34;7;апр.32;90.70;Credit card;86.38;4.761905;апр.32;06.июл
186;895-66-0685;3;186;5;1;Male;18.авг;3;фев.71;56.95;Ewallet;54.24;4.761905;фев.71;8.0
187;305-14-0245;3;187;3;1;Female;94.49;8;37.80;793.72;Ewallet;755.92;4.761905;37.80;07.май
188;732-04-5373;3;188;3;1;Male;46.47;4;сен.29;195.17;Cash;185.88;4.761905;сен.29;7.0
189;400-60-7251;1;189;3;2;Male;74.07;1;мар.70;77.77;Ewallet;74.07;4.761905;мар.70;09.сен
190;593-65-1552;2;190;3;2;Female;69.81;4;13.96;293.20;Credit card;279.24;4.761905;13.96;05.сен
191;284-34-9626;3;191;3;2;Female;77.04;3;ноя.56;242.68;Credit card;231.12;4.761905;ноя.56;07.фев
192;437-58-8131;3;192;6;2;Female;73.52;2;июл.35;154.39;Ewallet;147.04;4.761905;июл.35;04.июн
193;286-43-6208;2;193;5;2;Female;87.80;9;39.51;829.71;Cash;790.20;4.761905;39.51;09.фев
194;641-43-2399;3;194;3;2;Male;25.55;4;05.ноя;107.31;Ewallet;102.20;4.761905;05.ноя;05.июл
195;831-07-6050;1;195;2;2;Male;32.71;5;авг.18;171.73;Credit card;163.55;4.761905;авг.18;09.сен
196;556-86-3144;2;196;6;1;Female;74.29;1;мар.71;78.00;Cash;74.29;4.761905;мар.71;5.0
197;848-24-9445;2;197;1;1;Male;43.70;2;апр.37;91.77;Cash;87.40;4.761905;апр.37;04.сен
198;856-22-8149;1;198;3;2;Female;25.29;1;янв.26;26.55;Ewallet;25.29;4.761905;янв.26;06.янв
199;699-01-4164;2;199;1;2;Male;41.50;4;авг.30;174.30;Credit card;166.00;4.761905;авг.30;08.фев
200;420-11-4919;2;200;5;1;Female;71.39;5;17.85;374.80;Credit card;356.95;4.761905;17.85;05.май
201;606-80-4905;2;201;4;1;Female;19.15;6;май.75;120.65;Credit card;114.90;4.761905;май.75;06.авг
202;542-41-0513;3;202;2;1;Female;57.49;4;ноя.50;241.46;Cash;229.96;4.761905;ноя.50;06.июн
203;426-39-2418;2;203;2;2;Male;61.41;7;21.49;451.36;Cash;429.87;4.761905;21.49;09.авг
204;875-46-5808;3;204;1;1;Male;25.90;10;дек.95;271.95;Ewallet;259.00;4.761905;дек.95;08.июл
205;394-43-4238;3;205;3;1;Male;17.77;5;апр.44;93.29;Credit card;88.85;4.761905;апр.44;05.апр
206;749-24-1565;1;206;1;2;Female;23.мар;9;окт.36;217.63;Ewallet;207.27;4.761905;окт.36;07.сен
207;672-51-8681;2;207;2;1;Female;66.65;9;29.99;629.84;Credit card;599.85;4.761905;29.99;09.июл
208;263-87-5680;2;208;3;1;Female;28.53;10;14.27;299.57;Ewallet;285.30;4.761905;14.27;07.авг
209;573-58-9734;3;209;6;2;Female;30.37;3;апр.56;95.67;Ewallet;91.11;4.761905;апр.56;05.янв
210;817-69-8206;3;210;2;2;Female;99.73;9;44.88;942.45;Credit card;897.57;4.761905;44.88;06.май
211;888-02-0338;1;211;2;2;Male;26.23;9;ноя.80;247.87;Ewallet;236.07;4.761905;ноя.80;05.сен
212;677-11-0152;2;212;5;2;Female;93.26;9;41.97;881.31;Cash;839.34;4.761905;41.97;08.авг
213;142-63-6033;3;213;3;2;Male;92.36;5;23.сен;484.89;Ewallet;461.80;4.761905;23.сен;04.сен
214;656-16-1063;3;214;4;2;Male;46.42;3;июн.96;146.22;Credit card;139.26;4.761905;июн.96;04.апр
215;891-58-8335;3;215;4;1;Female;29.61;7;окт.36;217.63;Cash;207.27;4.761905;окт.36;06.май
216;802-43-8934;1;216;3;2;Male;18.28;1;0.91;19.19;Credit card;18.28;4.761905;0.91;08.мар
217;560-30-5617;3;217;4;2;Female;24.77;5;июн.19;130.04;Cash;123.85;4.761905;июн.19;08.май
218;319-74-2561;1;218;2;1;Female;94.64;3;14.20;298.12;Cash;283.92;4.761905;14.20;05.май
219;549-03-9315;3;219;6;2;Male;94.87;8;37.95;796.91;Ewallet;758.96;4.761905;37.95;08.июл
220;790-29-1172;3;220;5;2;Female;57.34;3;авг.60;180.62;Credit card;172.02;4.761905;авг.60;07.сен
221;239-36-3640;3;221;2;2;Male;45.35;6;13.61;285.71;Ewallet;272.10;4.761905;13.61;06.янв
222;468-01-2051;3;222;5;2;Male;62.08;7;21.73;456.29;Ewallet;434.56;4.761905;21.73;05.апр
223;389-25-3394;2;223;2;2;Male;ноя.81;5;фев.95;62.00;Cash;59.05;4.761905;фев.95;09.апр
224;279-62-1445;2;224;6;1;Female;дек.54;1;0.63;13.17;Cash;дек.54;4.761905;0.63;08.фев
225;213-72-6612;1;225;5;2;Male;43.25;2;апр.33;90.83;Cash;86.50;4.761905;апр.33;06.фев
226;746-68-6593;2;226;4;1;Female;87.16;2;авг.72;183.04;Credit card;174.32;4.761905;авг.72;09.июл
227;836-82-5858;3;227;1;1;Male;69.37;9;31.22;655.55;Ewallet;624.33;4.761905;31.22;4.0
228;583-72-1480;2;228;2;1;Male;37.06;4;июл.41;155.65;Ewallet;148.24;4.761905;июл.41;09.июл
229;466-61-5506;3;229;2;1;Female;90.70;6;27.21;571.41;Cash;544.20;4.761905;27.21;05.мар
230;721-86-6247;1;230;3;2;Female;63.42;8;25.37;532.73;Ewallet;507.36;4.761905;25.37;07.апр
231;289-65-5721;3;231;6;2;Female;81.37;2;авг.14;170.88;Cash;162.74;4.761905;авг.14;06.май
232;545-46-3100;3;232;2;1;Female;окт.59;3;янв.59;33.36;Credit card;31.77;4.761905;янв.59;08.июл
233;418-02-5978;3;233;1;2;Female;84.09;9;37.84;794.65;Cash;756.81;4.761905;37.84;8.0
234;269-04-5750;3;234;6;1;Male;73.82;4;14.76;310.04;Cash;295.28;4.761905;14.76;06.июл
235;157-13-5295;1;235;1;1;Male;51.94;10;25.97;545.37;Ewallet;519.40;4.761905;25.97;06.май
236;645-78-8093;1;236;4;2;Female;93.14;2;сен.31;195.59;Ewallet;186.28;4.761905;сен.31;04.янв
237;211-30-9270;2;237;1;2;Male;17.41;5;апр.35;91.40;Credit card;87.05;4.761905;апр.35;04.сен
238;755-12-3214;2;238;6;1;Female;44.22;5;11.июн;232.16;Credit card;221.10;4.761905;11.июн;08.июн
239;346-84-3103;3;239;2;1;Female;13.22;5;мар.31;69.41;Cash;66.10;4.761905;мар.31;04.мар
